"Name","Label","Ranking by BC","Betweenness Centrality (BC)","Degree"
"starPep_00000","Peptide","18","1122.872603278211","21"
"Antifungal","Function","8","63779.42593627917","847"
"Antimicrobial","Function","2","399559.884842627","1801"
"Antibacterial","Function","7","132200.80863543382","1123"
"Antibiofilm","Function","111","135.07765635328408","44"
"Toxic","Function","3","379768.30237563077","1735"
"Antitrypanosomic","Function","136","115.18608864386758","31"
"Antiflagellate","Function","629","11.204132758004373","9"
"Antiprotozoal","Function","247","47.14643390728201","22"
"Antiparasitic","Function","13","1936.100322000226","142"
"Hemolytic","Function","1","610655.7119207416","2004"
"Toxic to mammals","Function","5","159876.32407373874","1320"
"Antitumor","Function","24","890.9955484575662","111"
"Anticancer","Function","9","6872.197465027582","284"
"Cell penetrating","Function","117","132.6412522428237","37"
"Drug delivery","Function","107","141.16783980379947","38"
"Anti-Gram positive","Function","6","134081.77476996355","1265"
"Antileishmania","Function","401","25.207799294764808","20"
"Toxin/Venom","Function","28","740.1244634437822","78"
"Antiviral","Function","11","5140.526791520075","250"
"Neuropeptide","Function","1691","0.8019282598451135","4"
"Anti-HIV","Function","17","1152.8102296520522","103"
"Anti-Gram negative","Function","4","164346.9711537195","1365"
"Cytotoxic","Function","10","5368.435898316774","224"
"starPep_00001","Peptide","15","1422.0947739548087","21"
"Antimalarial","Function","932","3.245662869038597","8"
"Antiplasmodial","Function","105","144.53567272661368","39"
"Wound healing","Function","744","5.780784290602427","10"
"Surface-immobilization","Function","569","11.411439307837169","14"
"Spermicidal","Function","1534","1.244926054226615","5"
"starPep_00002","Peptide","30","707.7631999049717","19"
"starPep_00003","Peptide","74","208.9423435883372","13"
"starPep_00004","Peptide","16","1405.1449320450956","20"
"Enzymatic inhibitor","Function","775","4.827228357471216","8"
"Chemotaxis","Function","527","14.354067833087333","15"
"starPep_00005","Peptide","158","92.42991251285339","14"
"starPep_00006","Peptide","36","512.672928833556","15"
"starPep_00007","Peptide","239","48.86149631225235","10"
"Insecticidal","Function","25","884.7742256703755","77"
"starPep_00008","Peptide","57","288.60541375010416","13"
"Defensin","Function","1952","0.1804508849143419","2"
"starPep_00010","Peptide","29","720.5474092177307","17"
"starPep_00011","Peptide","106","143.88858575468404","12"
"starPep_00012","Peptide","570","11.285358306335725","9"
"starPep_00015","Peptide","327","36.056173372376136","10"
"starPep_00016","Peptide","38","493.9905472916721","15"
"starPep_00018","Peptide","56","309.0401666042461","15"
"starPep_00020","Peptide","73","209.50126416058677","15"
"starPep_00022","Peptide","40","436.9180707857872","13"
"Blood-Brain barrier","Function","1793","0.2931855738460001","3"
"starPep_00025","Peptide","145","109.49428458657022","13"
"starPep_00032","Peptide","293","38.111718240374216","9"
"starPep_00034","Peptide","240","48.86149631225235","10"
"starPep_00035","Peptide","241","48.86149631225235","10"
"starPep_00037","Peptide","65","244.88826318093862","10"
"starPep_00038","Peptide","1092","2.498878837057312","7"
"starPep_00039","Peptide","61","261.94826345639643","11"
"starPep_00041","Peptide","816","3.4265779441737485","8"
"starPep_00042","Peptide","42","405.54271063516893","15"
"starPep_00043","Peptide","266","43.91220539426801","11"
"starPep_00045","Peptide","137","114.26734853213644","10"
"starPep_00047","Peptide","14","1679.176192427368","15"
"starPep_00051","Peptide","68","235.49959102676343","13"
