Name,Betweenness Centrality (BC),Degree,Ranking by BC,Label
starPep_44675,0,1,2827,Peptide
starPep_41594,0,1,2826,Peptide
starPep_40807,0,1,2825,Peptide
starPep_37428,0,1,2824,Peptide
starPep_34367,0,1,2823,Peptide
starPep_33608,0,0,2822,Peptide
starPep_33037,0,0,2821,Peptide
starPep_32981,0,0,2820,Peptide
starPep_32978,0,0,2819,Peptide
starPep_32802,0,0,2818,Peptide
starPep_32702,0,0,2817,Peptide
starPep_32701,0,0,2816,Peptide
starPep_32648,0,1,2815,Peptide
starPep_32607,0,1,2814,Peptide
starPep_32546,0,1,2813,Peptide
starPep_32469,0,0,2812,Peptide
starPep_32466,0,0,2811,Peptide
starPep_32462,0,0,2810,Peptide
starPep_32459,0,0,2809,Peptide
starPep_32454,0,0,2808,Peptide
starPep_32362,0,0,2807,Peptide
starPep_32281,0,0,2806,Peptide
starPep_32280,0,0,2805,Peptide
starPep_32131,0,1,2804,Peptide
starPep_32054,0,1,2803,Peptide
starPep_32053,0,1,2802,Peptide
starPep_32014,0,0,2801,Peptide
starPep_32013,0,0,2800,Peptide
starPep_31998,0,0,2799,Peptide
starPep_30515,0,0,2798,Peptide
starPep_30509,0,0,2797,Peptide
starPep_30144,0,1,2796,Peptide
starPep_29246,0,1,2795,Peptide
starPep_27173,0,0,2794,Peptide
starPep_27131,0,0,2793,Peptide
starPep_26623,0,0,2792,Peptide
starPep_26622,0,0,2791,Peptide
starPep_26621,0,0,2790,Peptide
starPep_26620,0,0,2789,Peptide
starPep_24042,0,1,2788,Peptide
starPep_23256,0,1,2787,Peptide
starPep_23255,0,1,2786,Peptide
starPep_23254,0,1,2785,Peptide
starPep_23252,0,1,2784,Peptide
starPep_23251,0,1,2783,Peptide
starPep_23245,0,1,2782,Peptide
starPep_23227,0,1,2781,Peptide
starPep_23217,0,1,2780,Peptide
starPep_23214,0,1,2779,Peptide
starPep_23212,0,1,2778,Peptide
starPep_23209,0,1,2777,Peptide
starPep_23208,0,1,2776,Peptide
starPep_23207,0,1,2775,Peptide
starPep_23206,0,1,2774,Peptide
starPep_23192,0,1,2773,Peptide
starPep_23188,0,1,2772,Peptide
starPep_23186,0,1,2771,Peptide
starPep_23185,0,1,2770,Peptide
starPep_23159,0,1,2769,Peptide
starPep_22750,0,1,2768,Peptide
starPep_22713,0,0,2767,Peptide
starPep_22453,0,1,2766,Peptide
starPep_21062,0,1,2765,Peptide
starPep_20686,0,1,2764,Peptide
starPep_20284,0,1,2763,Peptide
starPep_20283,0,1,2762,Peptide
starPep_20198,0,0,2761,Peptide
starPep_19904,0,0,2760,Peptide
starPep_17024,0,1,2759,Peptide
starPep_14962,0,1,2758,Peptide
starPep_13874,0,0,2757,Peptide
starPep_13818,0,0,2756,Peptide
starPep_13777,0,0,2755,Peptide
starPep_13770,0,0,2754,Peptide
starPep_13711,0,0,2753,Peptide
starPep_13710,0,0,2752,Peptide
starPep_13684,0,0,2751,Peptide
starPep_13610,0,0,2750,Peptide
starPep_13523,0,0,2749,Peptide
starPep_13482,0,0,2748,Peptide
starPep_13481,0,0,2747,Peptide
starPep_13480,0,0,2746,Peptide
starPep_13479,0,0,2745,Peptide
starPep_13478,0,0,2744,Peptide
starPep_13477,0,0,2743,Peptide
starPep_13476,0,0,2742,Peptide
starPep_13475,0,0,2741,Peptide
starPep_13474,0,0,2740,Peptide
starPep_13473,0,0,2739,Peptide
starPep_13460,0,0,2738,Peptide
starPep_13446,0,0,2737,Peptide
starPep_13432,0,0,2736,Peptide
starPep_13375,0,0,2735,Peptide
starPep_13374,0,0,2734,Peptide
starPep_13373,0,0,2733,Peptide
starPep_13277,0,0,2732,Peptide
starPep_13276,0,0,2731,Peptide
starPep_13275,0,0,2730,Peptide
starPep_13232,0,0,2729,Peptide
starPep_13196,0,0,2728,Peptide
starPep_13165,0,0,2727,Peptide
starPep_13159,0,0,2726,Peptide
starPep_13105,0,0,2725,Peptide
starPep_13104,0,0,2724,Peptide
starPep_13078,0,0,2723,Peptide
starPep_13054,0,0,2722,Peptide
starPep_13008,0,0,2721,Peptide
starPep_13007,0,0,2720,Peptide
starPep_12936,0,0,2719,Peptide
starPep_12707,0,0,2718,Peptide
starPep_12670,0,0,2717,Peptide
starPep_12669,0,0,2716,Peptide
starPep_12668,0,0,2715,Peptide
starPep_12667,0,0,2714,Peptide
starPep_12615,0,0,2713,Peptide
starPep_12614,0,0,2712,Peptide
starPep_12613,0,0,2711,Peptide
starPep_12612,0,0,2710,Peptide
starPep_12611,0,0,2709,Peptide
starPep_12610,0,0,2708,Peptide
starPep_12589,0,0,2707,Peptide
starPep_12588,0,0,2706,Peptide
starPep_12483,0,0,2705,Peptide
starPep_12482,0,0,2704,Peptide
starPep_12481,0,0,2703,Peptide
starPep_12480,0,0,2702,Peptide
starPep_12479,0,0,2701,Peptide
starPep_12443,0,0,2700,Peptide
starPep_12420,0,0,2699,Peptide
starPep_12404,0,0,2698,Peptide
