"Name","Label","Betweenness Centrality (BC)","Ranking by BC","Degree"
"starPep_00000","Peptide","38492.43475782546","16","61"
"HIV","Target","5276.9657217597705","290","44"
"Virus","Target","0.0","2066","1"
"Xanthomonas oryzae","Target","0.0","2067","1"
"Xanthomonas","Target","5200.0","327","2"
"Xanthomonadaceae","Target","2601.0","518","2"
"Xanthomonadales","Target","0.0","2068","1"
"Gammaproteobacteria","Target","7.0","1996","2"
"Proteobacteria","Target","508.76700120897164","946","2"
"Negibacteria","Target","3102.767001208971","420","2"
"Bacteria","Target","8293.767001208977","199","3"
"kingdoms","Target","0.0","2069","1"
"Propionibacterium acnes","Target","8140.379398224509","203","19"
"Propionibacterium","Target","5200.000000000002","317","2"
"Propionibacteriaceae","Target","2601.000000000001","503","2"
"Propionibacterineae","Target","0.0","2070","1"
"Actinomycetales","Target","5199.999999999999","342","2"
"Actinobacteridae","Target","2600.9999999999995","535","2"
"Actinobacteria","Target","0.0","2071","1"
"Posibacteria","Target","0.0","2072","1"
"Candida albicans","Target","166108.0341513725","6","627"
"Candida","Target","10396.284835437113","157","4"
"Saccharomycetales","Target","7796.999999999996","254","2"
"Saccharomycetidae","Target","5199.999999999998","345","2"
"Saccharomycetes","Target","2600.999999999999","541","2"
"Saccharomycotina","Target","0.0","2073","1"
"Ascomycota","Target","5200.000000000005","307","2"
"Dikarya","Target","2601.0000000000023","487","2"
"Fungi","Target","0.0","2074","1"
"Fusobacterium varium","Target","3.897134888615463","2012","4"
"Fusobacterium","Target","10391.999999999985","186","2"
"Fusobacteriaceae","Target","7796.99999999999","262","2"
"Fusobacteriales","Target","5199.999999999993","367","2"
"Fusobacteriia","Target","2600.9999999999964","571","2"
"Fusobacteria","Target","0.0","2075","1"
"Listeria monocytogenes","Target","15300.305795175318","101","96"
"Listeria","Target","2600.9999999999995","536","2"
"Listeriaceae","Target","0.0","2076","1"
"Bacillales","Target","7797.000000000004","229","2"
"Bacilli","Target","5200.000000000002","318","2"
"Firmicutes","Target","2601.000000000001","504","2"
"Prevotella melaninogenica","Target","5203.897134888625","300","5"
"Prevotella","Target","2601.0000000000014","500","2"
"Prevotellaceae","Target","0.0","2077","1"
"Bacteroidales","Target","2600.999999999999","542","2"
"Bacteroidia","Target","0.0","2078","1"
"Bacteroidetes","Target","0.0","2079","1"
"Acinetobacter calcoaceticus","Target","671.6829362315367","858","29"
"Acinetobacter","Target","2616.0366063092256","471","6"
"Moraxellaceae","Target","0.0","2080","1"
"Pseudomonadales","Target","0.0","2081","1"
"Prostate cancer","Target","934.0182705059291","779","18"
"Cancer","Target","0.0","2082","1"
"Cervical cancer","Target","465.61669392313047","975","18"
"Bacillus subtilis","Target","169686.68113657873","5","598"
"Bacillus","Target","13336.035952002125","108","30"
"Bacillaceae","Target","10392.000000000004","167","2"
"Saccharomyces cerevisiae","Target","11628.709353062353","140","113"
"Saccharomyces","Target","2617.9515021037855","469","4"
"Saccharomycetaceae","Target","0.0","2083","1"
"Staphylococcus aureus","Target","491926.86717080756","3","1114"
"Staphylococcus","Target","2856.336456097365","434","14"
"Staphylococcaceae","Target","0.0","2084","1"
"Enterobacter cloacae","Target","6162.991980354901","276","87"
"Enterobacter","Target","0.0","2085","2"
"Enterobacteriaceae","Target","4691.232998791026","375","2"
"Enterobacteriales","Target","2098.232998791027","627","2"
"Mycoplasma mycoides","Target","2634.6066052128995","463","8"
"Mycoplasma","Target","0.0","2086","1"
"Mycoplasmataceae","Target","5200.0","328","2"
"Mycoplasmatales","Target","2601.0","519","2"
"Tenericutes","Target","0.0","2087","1"
"Pseudomonas aeruginosa","Target","261043.0325166502","4","810"
"Pseudomonas","Target","5200.41324158999","303","4"
"Pseudomonadaceae","Target","2601.0000000000005","513","2"
"Shigella dysenteriae","Target","2967.8772837968654","427","55"
"Shigella","Target","0.0","2088","1"
"Spiroplasma melliferum","Target","33.6066052128934","1870","7"
"Spiroplasma","Target","5200.000000000005","308","2"
"Spiroplasmataceae","Target","2601.0000000000023","488","2"
"Entomoplasmatales","Target","0.0","2089","1"
"Proteus mirabilis","Target","3177.3642108348436","419","59"
"Proteus","Target","3.299908045633246","2019","3"
"Human pbmc","Target","182.21941323300763","1306","12"
"Red blood","Target","7017.422157770157","268","76"
"Cells","Target","0.0","2090","1"
"Streptococcus","Target","2891.2630536138013","431","29"
"Streptococcaceae","Target","0.0","2091","1"
"Lactobacillales","Target","0.0","2092","1"
"Klebsiella pneumoniae","Target","28021.041288241046","34","229"
"Klebsiella","Target","0.7618101178515976","2044","3"
"Vibrio vulnificus","Target","107.70780831300227","1608","12"
"Vibrio","Target","5200.000000000005","309","2"
"Vibrionaceae","Target","2601.0000000000023","489","2"
"Vibrionales","Target","0.0","2093","1"
"Clostridium tertium","Target","3.897134888615463","2013","4"
"Clostridium","Target","0.0","2094","1"
"Clostridiaceae","Target","5199.999999999996","361","2"
"Clostridiales","Target","2600.999999999998","562","2"
"Clostridia","Target","0.0","2095","1"
"Streptococcus mutans","Target","2371.3884598804216","593","29"
"Spiroplasma citri","Target","33.6066052128934","1871","7"
"Pseudomonas putida","Target","1582.4242890099179","665","41"
"Salmonella typhimurium","Target","61096.98049987465","9","342"
"Salmonella","Target","29.270144232131678","1881","4"
"Trichosporon beigelii","Target","3264.455963395807","417","54"
"Trichosporonaceae","Target","0.0","2096","1"
